location,Jardim de Belém
lat,38.75000
lon,-9.00000
asl,70.106
variable,Precipitation Total
unit,mm
level,sfc
resolution,hourly
aggregation,None
timestamp,Jardim de Belém Precipitation Total
20230214T0900,0.0
20230214T1000,0.0
20230214T1100,0.0
20230214T1200,0.0
20230214T1300,0.0
20230214T1400,0.0
20230214T1500,0.0
20230214T1600,0.0
20230214T1700,0.0
20230214T1800,0.0
20230214T1900,0.5
20230214T2000,0.3
20230214T2100,0.1
20230214T2200,0.2
20230214T2300,0.3
20230215T0000,0.2
20230215T0100,0.2
20230215T0200,0.4
20230215T0300,0.7
20230215T0400,0.7
20230215T0500,0.7
20230215T0600,0.4
20230215T0700,0.2
20230215T0800,0.0
20230215T0900,0.0
20230215T1000,0.0
20230215T1100,0.2
20230215T1200,0.0
20230215T1300,0.0
20230215T1400,0.0
20230215T1500,0.0
20230215T1600,0.0
20230215T1700,0.0
20230215T1800,0.0
20230215T1900,0.0
20230215T2000,0.0
20230215T2100,0.0
20230215T2200,0.0
20230215T2300,0.0
20230216T0000,0.0
20230216T0100,0.0
20230216T0200,0.0
20230216T0300,0.0
20230216T0400,0.0
20230216T0500,0.0
20230216T0600,0.0
20230216T0700,0.0
20230216T0800,0.0
20230216T0900,0.0
20230216T1000,0.0
20230216T1100,0.0
20230216T1200,0.0
20230216T1300,0.0
20230216T1400,0.0
20230216T1500,0.0
20230216T1600,0.0
20230216T1700,0.0
20230216T1800,0.0
20230216T1900,0.0
20230216T2000,0.0
20230216T2100,0.0
20230216T2200,0.0
20230216T2300,0.0
20230217T0000,0.0
20230217T0100,0.0
20230217T0200,0.0
20230217T0300,0.0
20230217T0400,0.0
20230217T0500,0.0
20230217T0600,0.0
20230217T0700,0.0
20230217T0800,0.0
20230217T0900,0.0
20230217T1000,0.0
20230217T1100,0.0
20230217T1200,0.0
20230217T1300,0.0
20230217T1400,0.0
20230217T1500,0.0
20230217T1600,0.0
20230217T1700,0.0
20230217T1800,0.0
20230217T1900,0.0
20230217T2000,0.0
20230217T2100,0.0
